"","year_name","month_name","depth_cat","avg_bottemp","avg_surftemp"
"168",2011,"Nov","101-250",14.0820001602173,15.439999961853
"169",2011,"Nov","50-100",15.2326085463814,14.0130434865537
"170",2011,"Dec","<50",11.416969761704,11.390606099909
"171",2011,"Dec","101-250",15.8699998855591,19.2299995422363
"172",2011,"Dec","50-100",13.3257692043598,12.4569230079651
"173",2012,"Feb","<50",7.27614283561707,6.77807140350342
"174",2012,"Feb","101-250",11.3831820054488,8.31645454059947
"175",2012,"Feb","50-100",9.01049991754386,7.83676921404325
"176",2012,"Mar","<50",7.35124994516373,8.12024998664856
"177",2012,"Mar","101-250",9.79907503128052,8.35168495178223
"178",2012,"Mar","50-100",8.21060595367894,8.07878787589796
"179",2012,"Apr","<50",7.00899996757507,6.99600005149841
"180",2012,"Apr","101-250",11.4949999332428,7.30900001525879
"181",2012,"Apr","50-100",7.20590907877142,7.03954542766918
"182",2012,"May","<50",7.6966667175293,8.20000012715658
"183",2012,"May","101-250",6.62599997520447,8.69300003051758
"184",2012,"May","50-100",7.29388896624247,11.2983333269755
"185",2012,"Jun","<50",10.8116000366211,15.8151999664307
"186",2012,"Jun","101-250",8.35142837251936,14.7685714449201
"187",2012,"Jun","50-100",9.59525003433228,14.5644999265671
"188",2012,"Jul","<50",9.14499998092651,15.3249998092652
"189",2012,"Jul","50-100",10.2066665887833,15.0666666030884
"190",2012,"Aug","<50",14.4633333569481,20.9947616940453
"191",2012,"Aug",">250",5.95000004768372,26.8199996948242
"192",2012,"Aug","101-250",12.6800000667572,25.2399997711182
"193",2012,"Aug","50-100",11.18018522969,22.3288889814306
"194",2012,"Aug",NA,13.0605665842692,24.9063669840495
"195",2012,"Sep","<50",15.9950000345707,19.6037499308586
"196",2012,"Sep",">250",10.460000038147,23.3899993896484
"197",2012,"Sep","101-250",12.0420000076294,20.5259998321533
"198",2012,"Sep","50-100",12.4422727498141,19.4645455967296
"199",2012,"Oct","<50",15.4193750619888,15.7681249380112
"200",2012,"Oct","101-250",12.0909999370575,20.8974999427796
"201",2012,"Oct","50-100",14.4402778148651,17.7777779102325
"202",2012,"Nov","<50",14.3705883026123,13.9723531498629
"203",2012,"Nov",">250",5.84999990463257,20.9899997711182
"204",2012,"Nov","101-250",13.25,20.4799995422363
"205",2012,"Nov","50-100",14.4964287621634,14.2978570801871
"206",2013,"Feb","<50",5.43304353174956,5.23782612966454
"207",2013,"Feb",">250",7.81500005722045,8.14499974250793
"208",2013,"Feb","101-250",12.3983333905538,8.51833319664003
"209",2013,"Feb","50-100",6.61333330472311,6.40916663408279
"210",2013,"Mar","<50",4.95640740571199,5.33948145972358
"211",2013,"Mar","101-250",10.4675002098084,8.60999989509583
"212",2013,"Mar","50-100",7.2738499879837,6.50594999790192
"213",2013,"Mar",NA,6.75752484798432,9.04092490673066
"214",2013,"Apr","<50",5.30181819742376,5.56363638964566
"215",2013,"Apr",">250",9.31999969482422,10.1999998092651
"216",2013,"Apr","101-250",10.853888909022,7.66333338949415
"217",2013,"Apr","50-100",6.46200000047684,6.35825004577637
"218",2013,"Apr",NA,5.61999988555908,5.75
"219",2013,"Jun","<50",10.4282352784101,15.6241176829619
"220",2013,"Jun",">250",5.82999992370605,19.1599998474121
"221",2013,"Jun","101-250",10.4585715702602,14.3871427263532
"222",2013,"Jun","50-100",9.5068571635655,14.6285714830671
"223",2013,"Jun",NA,12.7266497612,14.3301000595093
"224",2013,"Jul","<50",10.9516667524974,18.5066663424174
"225",2013,"Jul",">250",9.55333336194356,24.7658333778381
"226",2013,"Jul","101-250",11.5012499491374,22.6812499364217
"227",2013,"Jul","50-100",10.4248275263556,16.9072414266652
"228",2013,"Aug","<50",15.6157140731812,17.4114286558969
"229",2013,"Aug",">250",8.81500001748402,24.005833307902
"230",2013,"Aug","101-250",11.2642857687814,22.915714263916
"231",2013,"Aug","50-100",12.9130001068115,17.9089999675751
"232",2013,"Aug",NA,4.9980001449585,20.1054000854492
"233",2013,"Sep","<50",15.4400000418386,18.3167742452314
"234",2013,"Sep","101-250",12.5141665935516,20.9100000063578
"235",2013,"Sep","50-100",11.983478297358,18.060434880464
"236",2013,"Oct","<50",14.7935714040484,15.0678570611136
"237",2013,"Oct","101-250",10.0900000572205,15.3940000534058
"238",2013,"Oct","50-100",13.4593750238419,14.5806249380112
"239",2013,"Nov","<50",13.210000038147,13.1700000762939
"240",2013,"Nov",">250",7.43499994277954,13.9300003051758
"241",2013,"Nov","101-250",12.0657142911639,12.4685713904244
"242",2013,"Nov","50-100",13.248420966299,12.9931578887136
"243",2014,"Mar","<50",3.84599999427795,3.86559998512268
"244",2014,"Mar",">250",6.09999990463257,7.57000017166138
"245",2014,"Mar","101-250",11.6266667048137,7.20333337783813
"246",2014,"Mar","50-100",4.33333335320155,4.18833334247271
"247",2014,"Apr","<50",4.96428571428571,5.74938775568592
"248",2014,"Apr",">250",10.079999923706,12.1066668828329
"249",2014,"Apr","101-250",10.7571427481515,8.32285710743496
"250",2014,"Apr","50-100",4.87666669870034,5.83410258782216
"251",2014,"May","<50",7.70000004768372,7.72499990463257
"252",2014,"May",">250",10.5549998283386,7.55999994277954
"253",2014,"May","101-250",11.4666668574015,10.6633332570394
"254",2014,"May","50-100",6.9938461963947,7.72000012030968
"255",2014,"May",NA,11.2515999476115,17.2890996932983
"256",2014,"Jul","<50",11.789999961853,16.5460000991821
"257",2014,"Jul",">250",13.3457142966134,24.0457142421177
"258",2014,"Jul","101-250",11.9700002670288,15.1700000762939
"259",2014,"Jul","50-100",10.7717143467494,14.7682856695993
